Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
heed,0.438286,257.526981,3005.598047,3406.229554,4149.146114
hid,1.225247,392.134154,2361.247848,3244.062073,4523.884088
head,2.341989,698.996182,2244.522646,3074.341417,4515.076711
had,3.123513,1026.460006,1963.166701,3128.447408,4128.186287
hod,4.404333,979.649467,1144.743258,2942.053001,4038.232241
hawed,5.134564,520.179102,1006.380306,3210.759246,4011.131733
hud,6.383801,828.617672,1298.127537,3001.015193,4365.777074
hood,7.104194,417.027819,1177.326360,2803.292082,4135.155249
who'd,8.305921,259.769012,975.072652,2971.912631,4289.913451
heard,9.070767,369.179485,1216.181490,1744.455426,4019.622646
hide,10.438814,978.908803,1718.361021,2589.481884,4054.921596
how'd,11.315841,951.761790,1709.680537,2691.500291,4071.106083
hayed,12.270677,386.390949,2836.752697,3110.358372,4383.667679
hoed,13.203315,328.315868,911.686887,2942.183419,3831.493898

